prop,target,n_target,alpha,method,coverage,width_sd
oc,ICRAF.ISRIC,3700,0.05,C4t_k50,0.9623835616438358,4.363780328388376
oc,ICRAF.ISRIC,3700,0.05,C3n_k50,0.9575342465753425,3.7720767166185842
oc,LUCAS.WOODWELL.SSL,589,0.2,C0,0.7514842300556587,0.8203874998055513
oc,LUCAS.WOODWELL.SSL,589,0.2,C0n,0.7529684601113174,0.7980285103403587
oc,LUCAS.WOODWELL.SSL,589,0.2,C4,0.7831168831168831,0.9277680595957251
oc,LUCAS.WOODWELL.SSL,589,0.2,C2_k25,0.8025046382189238,0.9462780248591734
oc,LUCAS.WOODWELL.SSL,589,0.2,C4t_k25,0.8197588126159555,1.0200572276198254
oc,LUCAS.WOODWELL.SSL,589,0.2,C3n_k25,0.8166975881261596,0.9387490338818034
oc,LUCAS.WOODWELL.SSL,589,0.2,C2_k50,0.8012987012987013,0.9018054778109172
oc,LUCAS.WOODWELL.SSL,589,0.2,C4t_k50,0.786456400742115,0.9481033319959544
oc,LUCAS.WOODWELL.SSL,589,0.2,C3n_k50,0.7950834879406308,0.8898306202069823
oc,LUCAS.WOODWELL.SSL,589,0.1,C0,0.8794063079777367,1.1438739645779046
oc,LUCAS.WOODWELL.SSL,589,0.1,C0n,0.8799628942486086,1.0582497043105878
oc,LUCAS.WOODWELL.SSL,589,0.1,C4,0.9167903525046384,1.436716182217645
oc,LUCAS.WOODWELL.SSL,589,0.1,C2_k25,0.9142857142857143,1.3698772261387713
oc,LUCAS.WOODWELL.SSL,589,0.1,C4t_k25,0.9219851576994433,1.475640269535363
oc,LUCAS.WOODWELL.SSL,589,0.1,C3n_k25,0.9108534322820037,1.3233300676650375
oc,LUCAS.WOODWELL.SSL,589,0.1,C2_k50,0.9017625231910946,1.262502700472791
oc,LUCAS.WOODWELL.SSL,589,0.1,C4t_k50,0.8962894248608533,1.3517099187782835
oc,LUCAS.WOODWELL.SSL,589,0.1,C3n_k50,0.8892393320964749,1.1491674327378305
oc,LUCAS.WOODWELL.SSL,589,0.05,C0,0.9554730983302413,1.499714029428628
oc,LUCAS.WOODWELL.SSL,589,0.05,C0n,0.9460111317254174,1.298089550159675
oc,LUCAS.WOODWELL.SSL,589,0.05,C4,0.9730983302411873,2.1996191242844247
oc,LUCAS.WOODWELL.SSL,589,0.05,C2_k25,0.9496289424860853,1.5089967974122258
oc,LUCAS.WOODWELL.SSL,589,0.05,C4t_k25,0.9630797773654918,2.1901579992039517
oc,LUCAS.WOODWELL.SSL,589,0.05,C3n_k25,0.969016697588126,1.605258047739146
oc,LUCAS.WOODWELL.SSL,589,0.05,C2_k50,0.9575139146567719,1.5745145163202006
oc,LUCAS.WOODWELL.SSL,589,0.05,C4t_k50,0.9617810760667904,2.176995706915714
oc,LUCAS.WOODWELL.SSL,589,0.05,C3n_k50,0.9507421150278293,1.3429338915727085
n.tot,LUCAS.SSL,40175,0.2,C0,0.7295003115264798,1.2029282600149849
n.tot,LUCAS.SSL,40175,0.2,C0n,0.6900099688473521,1.108922854360055
n.tot,LUCAS.SSL,40175,0.2,C4,0.8365034267912772,1.4098607709952289
n.tot,LUCAS.SSL,40175,0.2,C2_k25,0.8054479750778816,1.6463837716498977
n.tot,LUCAS.SSL,40175,0.2,C4t_k25,0.7943850467289719,1.3310628406682792
n.tot,LUCAS.SSL,40175,0.2,C3n_k25,0.8007065420560748,1.549965805491095
n.tot,LUCAS.SSL,40175,0.2,C2_k50,0.788398753894081,1.5153966282299152
n.tot,LUCAS.SSL,40175,0.2,C4t_k50,0.7944647975077881,1.3185750068678375
n.tot,LUCAS.SSL,40175,0.2,C3n_k50,0.8050043613707165,1.3690427993746828
n.tot,LUCAS.SSL,40175,0.1,C0,0.8731962616822431,1.877761922073504
n.tot,LUCAS.SSL,40175,0.1,C0n,0.8083663551401867,1.5074165233695198
n.tot,LUCAS.SSL,40175,0.1,C4,0.9591040498442368,2.2254103994961225
n.tot,LUCAS.SSL,40175,0.1,C2_k25,0.9372897196261682,2.564403091781263
n.tot,LUCAS.SSL,40175,0.1,C4t_k25,0.9193607476635514,2.043627456785246
n.tot,LUCAS.SSL,40175,0.1,C3n_k25,0.8956012461059191,2.3308646853865804
n.tot,LUCAS.SSL,40175,0.1,C2_k50,0.9133582554517135,2.3181112357032445
n.tot,LUCAS.SSL,40175,0.1,C4t_k50,0.8958554517133956,1.9642748542396724
n.tot,LUCAS.SSL,40175,0.1,C3n_k50,0.8941021806853582,1.9968891035754524
n.tot,LUCAS.SSL,40175,0.05,C0,0.9364560747663552,2.570601661202643
n.tot,LUCAS.SSL,40175,0.05,C0n,0.8867165109034267,1.9575249351523767
n.tot,LUCAS.SSL,40175,0.05,C4,0.9898890965732088,2.794201230254741
n.tot,LUCAS.SSL,40175,0.05,C2_k25,0.963970093457944,3.131131070251586
n.tot,LUCAS.SSL,40175,0.05,C4t_k25,0.9605906542056074,2.516652086498575
n.tot,LUCAS.SSL,40175,0.05,C3n_k25,0.9632323987538941,3.6499527464916004
n.tot,LUCAS.SSL,40175,0.05,C2_k50,0.9674330218068535,3.2790735472155084
n.tot,LUCAS.SSL,40175,0.05,C4t_k50,0.9610953271028035,2.4815890760337362
n.tot,LUCAS.SSL,40175,0.05,C3n_k50,0.96002492211838,3.0402757988914013
n.tot,KSSL.SSL,19806,0.2,C0,0.4903118040089086,0.38820613998309317
n.tot,KSSL.SSL,19806,0.2,C0n,0.47670074913950194,0.4155287859793396
n.tot,KSSL.SSL,19806,0.2,C4,0.462208949179996,0.37240781107322973
