prop,model,target,n_target,method,k,coverage,width_sd,cov_source_test,rmse_std_source,rmse_std_target,n_train
clay.tot,hgb,SERBIA.SSL,135,C3n,25,0.9176470588235294,2.6661516853227427,0.886,0.3920681172164873,0.6638838720935853,8000
clay.tot,hgb,SERBIA.SSL,135,C2,50,0.8752941176470588,2.2344204915077137,0.886,0.3920681172164873,0.6638838720935853,8000
clay.tot,hgb,SERBIA.SSL,135,C3n,50,0.9294117647058824,2.55359604777578,0.886,0.3920681172164873,0.6638838720935853,8000
oc,plsr,KSSL.SSL,20081,C0,0,0.48910688432928956,0.3177208841753392,0.9182608695652174,0.30245883385499217,0.2763371555918594,3451
oc,plsr,KSSL.SSL,20081,C0n,0,0.8652089261644452,0.5282642767321786,0.9182608695652174,0.30245883385499217,0.2763371555918594,3451
oc,plsr,KSSL.SSL,20081,C2,25,0.9384204483051268,1.0492989782161892,0.9182608695652174,0.30245883385499217,0.2763371555918594,3451
oc,plsr,KSSL.SSL,20081,C3n,25,0.9344116619240177,0.7587975916301513,0.9182608695652174,0.30245883385499217,0.2763371555918594,3451
oc,plsr,KSSL.SSL,20081,C2,50,0.9203035295292297,0.9665001500961421,0.9182608695652174,0.30245883385499217,0.2763371555918594,3451
oc,plsr,KSSL.SSL,20081,C3n,50,0.9256202885527435,0.6184454581468988,0.9182608695652174,0.30245883385499217,0.2763371555918594,3451
oc,hgb,KSSL.SSL,20081,C0,0,0.48760421346912286,0.37756388092775633,0.8939130434782608,0.3441322590390306,0.3582356664032402,3451
oc,hgb,KSSL.SSL,20081,C0n,0,0.8039738405471519,0.5446209617034811,0.8939130434782608,0.3441322590390306,0.3582356664032402,3451
oc,hgb,KSSL.SSL,20081,C2,25,0.8927063052268984,1.330942921295199,0.8939130434782608,0.3441322590390306,0.3582356664032402,3451
oc,hgb,KSSL.SSL,20081,C3n,25,0.9344466077579752,0.870652782470827,0.8939130434782608,0.3441322590390306,0.3582356664032402,3451
oc,hgb,KSSL.SSL,20081,C2,50,0.8996954720183716,1.2298763544602018,0.8939130434782608,0.3441322590390306,0.3582356664032402,3451
oc,hgb,KSSL.SSL,20081,C3n,50,0.9108232240027958,0.8648898474624778,0.8939130434782608,0.3441322590390306,0.3582356664032402,3451
oc,plsr,ICRAF.ISRIC,3698,C0,0,0.6903782894736842,0.7595519259762901,0.9055,0.10333012532423975,0.449407133881189,8000
oc,plsr,ICRAF.ISRIC,3698,C0n,0,0.7664747807017545,1.012623521623357,0.9055,0.10333012532423975,0.449407133881189,8000
oc,plsr,ICRAF.ISRIC,3698,C2,25,0.8957510964912281,1.3738372474957354,0.9055,0.10333012532423975,0.449407133881189,8000
oc,plsr,ICRAF.ISRIC,3698,C3n,25,0.9468201754385964,1.9878714521750873,0.9055,0.10333012532423975,0.449407133881189,8000
oc,plsr,ICRAF.ISRIC,3698,C2,50,0.868530701754386,1.1904758279209604,0.9055,0.10333012532423975,0.449407133881189,8000
oc,plsr,ICRAF.ISRIC,3698,C3n,50,0.904906798245614,1.336391407065543,0.9055,0.10333012532423975,0.449407133881189,8000
oc,hgb,ICRAF.ISRIC,3698,C0,0,0.6384046052631579,0.8912215231826887,0.8965,0.12294517638940136,0.6273739899428245,8000
oc,hgb,ICRAF.ISRIC,3698,C0n,0,0.7661732456140351,1.2646760882987014,0.8965,0.12294517638940136,0.6273739899428245,8000
oc,hgb,ICRAF.ISRIC,3698,C2,25,0.9378837719298246,2.4586089463185408,0.8965,0.12294517638940136,0.6273739899428245,8000
oc,hgb,ICRAF.ISRIC,3698,C3n,25,0.9478618421052631,3.375662512699994,0.8965,0.12294517638940136,0.6273739899428245,8000
oc,hgb,ICRAF.ISRIC,3698,C2,50,0.9064418859649124,1.835540329109981,0.8965,0.12294517638940136,0.6273739899428245,8000
oc,hgb,ICRAF.ISRIC,3698,C3n,50,0.9174342105263158,2.479383284090291,0.8965,0.12294517638940136,0.6273739899428245,8000
oc,plsr,AFSIS1.SSL,1902,C0,0,0.7948164146868251,0.9948254677670894,0.9015,0.11985273228494461,0.45561474497846444,8000
oc,plsr,AFSIS1.SSL,1902,C0n,0,0.8055075593952484,1.055293287950104,0.9015,0.11985273228494461,0.45561474497846444,8000
oc,plsr,AFSIS1.SSL,1902,C2,25,0.9249460043196545,1.5756927398892921,0.9015,0.11985273228494461,0.45561474497846444,8000
oc,plsr,AFSIS1.SSL,1902,C3n,25,0.9208423326133909,1.3245322632579555,0.9015,0.11985273228494461,0.45561474497846444,8000
oc,plsr,AFSIS1.SSL,1902,C2,50,0.91085313174946,1.4444181774984415,0.9015,0.11985273228494461,0.45561474497846444,8000
